Title,Date,Duration,Genres,Director,Crew,Synopsis,Note_Ac,User_score_2
Amours à la finlandaise,3 janvier 2024,2h 01min,[],N/A,"['Eero Milonoff', 'Alma Pöysti']","Julia découvre que son mari a une liaison. Pour sauver leur mariage, elle lui propose d’expérimenter le polyamour et d'inventer les nouvelles règles de leur vie conjugale. Un champ des possibles amoureux s’ouvre alors à eux…","3,1","3,5"
Maestro,20 décembre 2023,2h 09min,[],N/A,['Carey Mulligan'],Le récit de l'amour aussi grandiose que téméraire qui unira toute leur vie le chef d'orchestre et compositeur Leonard Bernstein et Felicia Montealegre Cohn Bernstein.,"3,9","3,3"
Les Inséparables,13 décembre 2023,1h 29min,[],N/A,"['Eric Judor', 'Jean-Pascal Zadi']","Quand les lumières s’éteignent dans le vieux théâtre de Central Park, les marionnettes prennent vie. Parmi elles, Don, qui joue le même rôle de bouffon depuis des années. Il rêve d’avoir pour une fois un rôle de vrai héros et de découvrir le monde. Il prend son courage à deux mains et claque la porte.","3,0","3,4"
Oppenheimer,19 juillet 2023,3h 01min,[],N/A,"['Cillian Murphy', 'Emily Blunt']",Le nouveau film de Christopher Nolan sur l’univers palpitant de l‘homme complexe qui a mis en jeu la vie du monde entier pour mieux le sauver.,"3,8","4,3"
Le Garçon au pyjama rayé,12 août 2009,1h 30min,[],N/A,"['Asa Butterfield', 'Vera Farmiga']",Une famille allemande vient habiter à Auschwitz pendant la deuxième Guerre Mondiale après que le père ait reçu un ordre d'Hitler. Une amitié va naïtre entre son fils et une des victimes du camp...,"4,2",--
Le Garçon et le Héron,1 novembre 2023,2h 03min,[],N/A,"['Gavril Dartevelle', 'Soma Santoki']","Après la disparition de sa mère dans un incendie, Mahito doit quitter Tokyo pour partir vivre à la campagne dans le village où elle a grandi. Il s’installe avec son père dans un vieux manoir situé sur un immense domaine où il rencontre un héron cendré qui devient petit à petit son guide.","4,2","3,8"
Killers of the Flower Moon,18 octobre 2023,3h 26min,[],N/A,"['Leonardo DiCaprio', 'Lily Gladstone']","Au début du XXème siècle, le pétrole a apporté la fortune au peuple Osage qui, du jour au lendemain, est devenu l’un des plus riches du monde. La richesse de ces Amérindiens attire aussitôt la convoitise de Blancs peu recommandables qui intriguent, soutirent et volent autant d’argent Osage que possible avant de recourir au meurtre…","4,4","4,1"
Misanthrope,26 avril 2023,1h 59min,[],N/A,"['Shailene Woodley', 'Ben Mendelsohn']","Eleanor, une jeune enquêtrice au lourd passé, est appelée sur les lieux d’un crime de masse terrible. La police et le FBI lancent une chasse à l’homme sans précédent, mais face au mode opératoire constamment imprévisible de l’assassin, l’enquête piétine.","3,7","3,8"
Ma France à moi,20 décembre 2023,1h 31min,[],N/A,"['Fanny Ardant', 'Nawid Elham']","France, la soixantaine, vit seule dans son appartement bourgeois de l’est parisien. Lorsqu’elle entend parler à la radio d’une association qui met en contact des personnes réfugiées sans logement et celles ayant la possibilité de les accueillir, elle décroche son téléphone pour se porter volontaire.","2,6","2,8"
"Mean Girls, lolita malgré moi",10 janvier 2024,1h 53min,[],N/A,"['Angourie Rice', 'Reneé Rapp']","Dans ce remake de ""Lolita malgré moi"", Cady Heron se retrouve à côtoyer l'élite de la chaine alimentaire sociale, les filles populaires appelées ""Les Plastiques"", dirigées par leur queen Regina George et ses sous-fifres Gretchen et Karen.","3,1","2,3"
Mars Express,22 novembre 2023,1h 25min,[],N/A,"['Léa Drucker', 'Mathieu Amalric']","En l’an 2200, Aline Ruby, détective privée obstinée, et Carlos Rivera son partenaire androïde sont embauchés par un riche homme d’affaires afin de capturer sur Terre une célèbre hackeuse. Au fil de leur enquête, ils seront confrontés aux plus sombres secrets de leur cité.","4,0","4,2"
Le Temps D’Aimer,29 novembre 2023,2h 05min,[],N/A,"['Anaïs Demoustier', 'Vincent Lacoste']","1947. Sur une plage, Madeleine, serveuse dans un hôtel-restaurant, mère d’un petit garçon, fait la connaissance de François, étudiant riche et cultivé. Entre eux, c’est comme une évidence. La providence. Si l’on sait ce qu’elle veut laisser derrière elle en suivant ce jeune homme, on découvre avec le temps ce que François tente de fuir en mêlant le destin de Madeleine au sien...","3,8","3,8"
Godzilla Minus One,7 décembre 2023,2h 04min,[],N/A,"['Ryûnosuke Kamiki', 'Minami Hamabe']","Le Japon se remet à grand peine de la Seconde Guerre mondiale qu’un péril gigantesque émerge au large de Tokyo. Koichi, un kamikaze déserteur traumatisé par sa première confrontation avec Godzilla, voit là l’occasion de racheter sa conduite pendant la guerre.","3,8","4,3"
Les Chambres rouges,17 janvier 2024,1h 58min,[],N/A,"['Juliette Gariepy', 'Laurie Fortin-Babin']","Deux jeunes femmes se réveillent chaque matin aux portes du palais de justice de Montréal pour pouvoir assister au procès hypermédiatisé d’un tueur en série qui les obsède, et qui a filmé la mise à mort de ses victimes. Cette obsession maladive les conduira à tenter par tous les moyens de mettre la main sur l’ultime pièce du puzzle, qui pourrait permettre de définitivement confondre celui que l’on surnomme le Démon de Rosemont : la vidéo manquante de l’un de ses meurtres.","3,4","3,9"
Bâtiment 5,6 décembre 2023,1h 40min,[],N/A,"['Anta Diaw', 'Alexis Manenti']","Haby, jeune femme très impliquée dans la vie de sa commune, découvre le nouveau plan de réaménagement du quartier dans lequel elle a grandi. Mené en catimini par Pierre Forges, un jeune pédiatre propulsé maire, il prévoit la démolition de l'immeuble où Haby a grandi. Avec les siens, elle se lance dans un bras de fer contre la municipalité et ses grandes ambitions pour empêcher la destruction du bâtiment 5.","3,1","2,7"
La Chimère,6 décembre 2023,2h 10min,[],N/A,"[""Josh O'Connor"", 'Carol Duarte']","Chacun poursuit sa chimère sans jamais parvenir à la saisir. Pour certains, c'est un rêve d’argent facile, pour d'autres la quête d’un amour passé… De retour dans sa petite ville du bord de la mer Tyrrhénienne, Arthur retrouve sa bande de Tombaroli, des pilleurs de tombes étrusques et de merveilles archéologiques.","3,6","3,7"
Mon ami robot,27 décembre 2023,1h 42min,[],N/A,[],"DOG, vit à Manhattan et la solitude lui pèse. Un jour, il décide de construire un robot et ils deviennent alors les meilleurs amis du monde ! Par une nuit d’été, DOG avec grande tristesse, est obligé d’abandonner ROBOT sur la plage. Se reverront-ils un jour ?","3,9","4,0"
La Tête froide,17 janvier 2024,1h 32min,[],N/A,"['Florence Loiret Caille', 'Saabo Balde']","Dans les Alpes enneigées, en plein hiver. Pour boucler ses fins de mois, Marie, 45 ans, trafique des cartouches de cigarettes entre la France et l’Italie avec l’aide de son amant Alex, policier aux frontières. Lorsqu’elle rencontre Souleymane, jeune réfugié, prêt à tout pour rejoindre sa petite sœur, elle s’embarque dans un engrenage bien plus dangereux qu’elle ne l’avait imaginé.","3,6","3,5"
Adieu Monsieur Haffmann,12 janvier 2022,1h 56min,[],N/A,"['Daniel Auteuil', 'Gilles Lellouche']","Paris 1941. François Mercier est un homme ordinaire qui n’aspire qu’à fonder une famille avec sa femme. Il est aussi l’employé d’un joaillier talentueux, M. Haffmann. Face à l’occupation allemande, les deux hommes concluent un accord pour le moins singulier.","3,3","3,9"
Sound of Freedom,15 novembre 2023,2h 11min,[],N/A,"['Jim Caviezel', 'Bill Camp']","SOUND OF FREEDOM est un thriller basé sur l'incroyable histoire vraie d'un ancien agent fédéral américain qui se lance dans une opération de sauvetage au péril de sa vie, pour libérer des centaines d'enfants prisonniers de trafiquants sexuels.","1,9","4,1"
Illusions Perdues,20 octobre 2021,2h 30min,[],N/A,"['Benjamin Voisin', 'Cécile de France']","Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice.","4,0","4,3"
