Title,Date,Duration,Note_Imdb,User_score_1,Synopsis
Lawrence d'Arabie,1962,3h 38m,"8,3 (310 k)",100,"Sur fond d'intrigues géo-politiques cyniques, l'épopée inouïe et la quête pure de l'extraordinaire et si fragile lieutenant Lawrence - amoureux du désert, et chantre déçu de l'identité arabe. Un film somptueux qui nous emporte comme une vague, en musique. [255]"
La mort aux trousses,1959,2h 16m,"8,3 (343 k)",98,"Publicitaire infortuné de la ville de New York, il est pris pour un agent du gouvernement par un groupe d'espions étrangers et est poursuivi dans tout le pays alors qu'il cherche un moyen de survivre."
K.G.F: Chapter 2,2022,2h 46m,"8,3 (148 k)",N/A,"Dans les champs aurifères imbibés de sang de Kolar, le nom de Rocky fait peur à ses ennemis. Alors que ses alliés l'admirent, le gouvernement le considère comme une menace pour la loi et l'ordre."
Sueurs froides,1958,2h 8m,"8,3 (422 k)",100,Un ex-lieutenant de police jongle avec ses démons personnels et devient obsédé par une femme d'une beauté envoûtante.
Toy Story 3,2010,1h 43m,"8,3 (882 k)",92,"Les jouets sont livrés par erreur à une garderie au lieu d'être remisés au grenier juste avant qu'Andy ne parte pour l'université, et c'est à Woody de convaincre les autres jouets qu'ils n'ont pas été abandonnés et de retourner à la maison."
Metropolis,1927,2h 33m,"8,3 (183 k)",98,"""Dans une ville futuriste fortement scindée entre la classe ouvrière et les maîtres de la cité, le fils du """"cerveau"""" de la ville tombe amoureux d'une prophétesse de la classe ouvrière qui prédit la venue d'un sauveur pour régler leurs différends."""
La garçonnière,1960,2h 5m,"8,3 (194 k)",94,"Un homme essaie de monter dans son entreprise en laissant ses dirigeants utiliser son appartement pour des rendez-vous galants, mais des complications s'ensuivent ainsi que sa propre relation amoureuse."
Du silence et des ombres...,1962,2h 9m,"8,3 (330 k)",88,"Atticus Finch, un avocat du sud des États-Unis pendant la Grande Dépression, défend un homme noir d'une accusation de viol non méritée, et ses enfants des préjugés."
Une séparation,2011,2h 3m,"8,3 (256 k)",95,"Lorsque sa femme le quitte, Nader engage une aide-soignante pour s'occuper de son père malade. Il ignore alors que la jeune femme est enceinte et a accepté ce travail sans l'accord de son mari, un homme psychologiquement instable"
M le maudit,1931,1h 58m,"8,3 (166 k)",N/A,"Lorsque la police d'une ville allemande ne parvient pas à attraper un enfant assassin, d'autres criminels se joignent à la chasse à l'homme."
Jugement à Nuremberg,1961,2h 59m,"8,3 (84 k)",60,"En 1948, un tribunal américain en Allemagne occupée juge quatre nazis jugés pour crimes de guerre."
Dangal,2016,2h 41m,"8,3 (207 k)",N/A,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
